Timestamp,S100,S104,S106,S107,S108,S109,S115,S116,S122,S24,S43,S44
2021-02-01T00:00:00+08:00,55.0,24.0,18.0,346.0,1.0,36.0,39.0,32.0,11.0,14.0,33.0,30.0
2021-02-01T00:01:00+08:00,53.0,25.0,18.0,347.0,,40.0,39.0,32.0,12.0,13.0,32.0,29.0
2021-02-01T00:02:00+08:00,51.0,24.0,16.0,349.0,1.0,40.0,40.0,32.0,11.0,13.0,30.0,29.0
2021-02-01T00:03:00+08:00,51.0,24.0,17.0,348.0,1.0,40.0,40.0,32.0,10.0,11.0,30.0,28.0
2021-02-01T00:04:00+08:00,54.0,23.0,15.0,350.0,1.0,40.0,41.0,32.0,8.0,9.0,33.0,26.0
2021-02-01T00:05:00+08:00,50.0,22.0,14.0,350.0,,40.0,42.0,34.0,8.0,7.0,35.0,26.0
2021-02-01T00:06:00+08:00,49.0,22.0,11.0,351.0,359.0,41.0,42.0,34.0,9.0,5.0,38.0,26.0
2021-02-01T00:07:00+08:00,46.0,21.0,8.0,353.0,359.0,42.0,42.0,33.0,6.0,11.0,39.0,26.0
2021-02-01T00:08:00+08:00,43.0,21.0,9.0,353.0,359.0,43.0,43.0,33.0,5.0,12.0,40.0,25.0
2021-02-01T00:09:00+08:00,42.0,21.0,7.0,354.0,358.0,43.0,44.0,33.0,3.0,11.0,40.0,24.0
2021-02-01T00:10:00+08:00,42.0,21.0,7.0,354.0,1.0,45.0,45.0,34.0,2.0,13.0,40.0,23.0
2021-02-01T00:11:00+08:00,45.0,20.0,6.0,354.0,2.0,44.0,45.0,34.0,359.0,15.0,40.0,22.0
2021-02-01T00:12:00+08:00,50.0,19.0,7.0,353.0,1.0,42.0,44.0,33.0,,15.0,42.0,22.0
2021-02-01T00:13:00+08:00,49.0,20.0,6.0,355.0,,43.0,45.0,34.0,2.0,17.0,40.0,21.0
2021-02-01T00:14:00+08:00,45.0,19.0,6.0,354.0,359.0,44.0,45.0,34.0,358.0,18.0,36.0,20.0
2021-02-01T00:15:00+08:00,49.0,20.0,8.0,354.0,359.0,43.0,45.0,32.0,353.0,20.0,36.0,20.0
2021-02-01T00:16:00+08:00,48.0,19.0,10.0,354.0,359.0,43.0,44.0,31.0,350.0,21.0,37.0,19.0
2021-02-01T00:17:00+08:00,49.0,19.0,13.0,354.0,359.0,42.0,45.0,33.0,353.0,19.0,37.0,19.0
2021-02-01T00:18:00+08:00,50.0,19.0,12.0,355.0,359.0,41.0,45.0,33.0,352.0,18.0,39.0,19.0
2021-02-01T00:19:00+08:00,52.0,19.0,15.0,354.0,358.0,37.0,45.0,33.0,352.0,19.0,39.0,19.0
2021-02-01T00:20:00+08:00,51.0,19.0,16.0,353.0,357.0,36.0,44.0,33.0,351.0,16.0,40.0,19.0
2021-02-01T00:21:00+08:00,48.0,19.0,17.0,352.0,357.0,31.0,44.0,33.0,350.0,15.0,42.0,19.0
2021-02-01T00:22:00+08:00,46.0,19.0,18.0,351.0,357.0,32.0,45.0,34.0,349.0,14.0,40.0,19.0
2021-02-01T00:23:00+08:00,49.0,19.0,16.0,349.0,358.0,34.0,45.0,35.0,347.0,14.0,42.0,20.0
2021-02-01T00:24:00+08:00,55.0,19.0,15.0,349.0,359.0,30.0,45.0,35.0,349.0,14.0,45.0,21.0
2021-02-01T00:25:00+08:00,55.0,18.0,15.0,348.0,359.0,31.0,45.0,36.0,349.0,12.0,45.0,21.0
2021-02-01T00:26:00+08:00,57.0,17.0,15.0,346.0,359.0,30.0,45.0,38.0,351.0,12.0,43.0,23.0
2021-02-01T00:27:00+08:00,58.0,18.0,15.0,344.0,,28.0,45.0,38.0,351.0,10.0,40.0,22.0
2021-02-01T00:28:00+08:00,57.0,17.0,16.0,344.0,1.0,27.0,45.0,40.0,353.0,8.0,39.0,23.0
2021-02-01T00:29:00+08:00,57.0,16.0,15.0,345.0,1.0,28.0,45.0,40.0,353.0,6.0,38.0,24.0
2021-02-01T00:30:00+08:00,60.0,17.0,16.0,344.0,,25.0,45.0,40.0,355.0,8.0,38.0,24.0
2021-02-01T00:31:00+08:00,62.0,16.0,16.0,344.0,359.0,29.0,45.0,40.0,356.0,5.0,38.0,24.0
2021-02-01T00:32:00+08:00,62.0,16.0,17.0,344.0,359.0,27.0,45.0,40.0,356.0,4.0,41.0,24.0
2021-02-01T00:33:00+08:00,60.0,15.0,19.0,344.0,359.0,23.0,45.0,40.0,356.0,3.0,40.0,23.0
2021-02-01T00:34:00+08:00,56.0,15.0,21.0,344.0,358.0,23.0,45.0,40.0,354.0,,41.0,24.0
2021-02-01T00:35:00+08:00,55.0,15.0,22.0,344.0,358.0,23.0,44.0,42.0,355.0,4.0,41.0,25.0
2021-02-01T00:36:00+08:00,54.0,16.0,23.0,344.0,357.0,23.0,45.0,42.0,354.0,2.0,41.0,25.0
2021-02-01T00:37:00+08:00,53.0,16.0,22.0,345.0,355.0,23.0,46.0,42.0,355.0,1.0,44.0,26.0
2021-02-01T00:38:00+08:00,55.0,16.0,21.0,346.0,353.0,22.0,45.0,43.0,355.0,1.0,44.0,26.0
2021-02-01T00:39:00+08:00,54.0,17.0,21.0,344.0,354.0,25.0,45.0,45.0,357.0,,45.0,25.0
2021-02-01T00:40:00+08:00,52.0,17.0,20.0,345.0,356.0,28.0,45.0,45.0,359.0,358.0,46.0,26.0
2021-02-01T00:41:00+08:00,53.0,17.0,20.0,345.0,355.0,28.0,46.0,45.0,358.0,357.0,45.0,27.0
2021-02-01T00:42:00+08:00,53.0,17.0,16.0,346.0,354.0,28.0,46.0,45.0,359.0,357.0,42.0,27.0
2021-02-01T00:43:00+08:00,53.0,17.0,19.0,347.0,354.0,29.0,44.0,44.0,1.0,355.0,44.0,28.0
2021-02-01T00:44:00+08:00,54.0,17.0,20.0,348.0,356.0,32.0,44.0,45.0,2.0,355.0,43.0,27.0
2021-02-01T00:45:00+08:00,53.0,18.0,20.0,347.0,355.0,33.0,44.0,45.0,3.0,352.0,45.0,26.0
2021-02-01T00:46:00+08:00,52.0,18.0,20.0,347.0,355.0,32.0,44.0,44.0,2.0,354.0,48.0,25.0
2021-02-01T00:47:00+08:00,51.0,17.0,23.0,346.0,357.0,34.0,43.0,43.0,2.0,355.0,46.0,24.0
2021-02-01T00:48:00+08:00,49.0,17.0,23.0,345.0,358.0,36.0,44.0,42.0,,355.0,47.0,24.0
2021-02-01T00:49:00+08:00,50.0,17.0,23.0,345.0,357.0,37.0,44.0,41.0,,355.0,47.0,24.0
2021-02-01T00:50:00+08:00,53.0,17.0,23.0,345.0,357.0,36.0,44.0,40.0,,355.0,45.0,23.0
2021-02-01T00:51:00+08:00,56.0,17.0,24.0,344.0,357.0,38.0,45.0,39.0,2.0,358.0,45.0,22.0
